home_team,away_team,tournament,city,country,neutral,year
Sweden,Argentina,Olympic Games,Tianjin,China PR,True,2008
China PR,Canada,Olympic Games,Tianjin,China PR,False,2008
Nigeria,Germany,Olympic Games,Shenyang,China PR,True,2008
Brazil,North Korea,Olympic Games,Shenyang,China PR,True,2008
United States,Japan,Olympic Games,Qinhuangdao,China PR,True,2008
New Zealand,Norway,Olympic Games,Qinhuangdao,China PR,True,2008
China PR,Argentina,Olympic Games,Qinhuangdao,China PR,False,2008
Sweden,Canada,Olympic Games,Beijing,China PR,True,2008
North Korea,Germany,Olympic Games,Tianjin,China PR,True,2008
Nigeria,Brazil,Olympic Games,Beijing,China PR,True,2008
Norway,Japan,Olympic Games,Shanghai,China PR,True,2008
United States,New Zealand,Olympic Games,Shenyang,China PR,True,2008
United States,Canada,Olympic Games,Shanghai,China PR,True,2008
Brazil,Norway,Olympic Games,Tianjin,China PR,True,2008
Sweden,Germany,Olympic Games,Shenyang,China PR,True,2008
China PR,Japan,Olympic Games,Qinhuangdao,China PR,False,2008
Brazil,Germany,Olympic Games,Shanghai,China PR,True,2008
United States,Japan,Olympic Games,Beijing,China PR,True,2008
Germany,Japan,Olympic Games,Beijing,China PR,True,2008
Brazil,United States,Olympic Games,Beijing,China PR,True,2008
Russia,Austria,UEFA Euro qualification,Krasnoarmeysk,Russia,False,2008
Netherlands,Switzerland,UEFA Euro qualification,The Hague,Netherlands,False,2008
Sweden,Romania,UEFA Euro qualification,Västerås,Sweden,False,2008
Greece,Serbia,UEFA Euro qualification,Athens,Greece,False,2008
France,Iceland,UEFA Euro qualification,La Roche-sur-Yon,France,False,2008
Netherlands,Belgium,UEFA Euro qualification,Volendam,Netherlands,False,2008
Ukraine,Portugal,UEFA Euro qualification,Chernihiv,Ukraine,False,2008
Poland,Russia,UEFA Euro qualification,Kutno,Poland,False,2008
Czech Republic,England,UEFA Euro qualification,Prague,Czech Republic,False,2008
Scotland,Slovakia,UEFA Euro qualification,Perth,Scotland,False,2008
Sweden,Republic of Ireland,UEFA Euro qualification,Trelleborg,Sweden,False,2008
Switzerland,Germany,UEFA Euro qualification,Basel,Switzerland,False,2008
Denmark,Ukraine,UEFA Euro qualification,Viborg,Denmark,False,2008
Spain,England,UEFA Euro qualification,Zamora,Spain,False,2008
Italy,Hungary,UEFA Euro qualification,Montereale Valcellina,Italy,False,2008
Greece,Slovenia,UEFA Euro qualification,Athens,Greece,False,2008
Russia,Norway,UEFA Euro qualification,Krasnoarmeysk,Russia,False,2008
Czech Republic,Italy,UEFA Euro qualification,Prague 20,Czech Republic,False,2008
Spain,Netherlands,UEFA Euro qualification,Madrid,Spain,False,2008
Republic of Ireland,Iceland,UEFA Euro qualification,Dublin,Republic of Ireland,False,2008
Scotland,Russia,UEFA Euro qualification,Edinburgh,Scotland,False,2008
Slovenia,Ukraine,UEFA Euro qualification,Dravograd,Slovenia,False,2008
Italy,Czech Republic,UEFA Euro qualification,Gubbio,Italy,False,2008
Iceland,Republic of Ireland,UEFA Euro qualification,Reykjavík,Iceland,False,2008
Russia,Scotland,UEFA Euro qualification,Nalchik,Russia,False,2008
Netherlands,Spain,UEFA Euro qualification,Volendam,Netherlands,False,2008
Ukraine,Slovenia,UEFA Euro qualification,Chernihiv,Ukraine,False,2008
Equatorial Guinea,Cameroon,African Championship,Malabo,Equatorial Guinea,False,2008
Mali,Congo,African Championship,Malabo,Equatorial Guinea,True,2008
Nigeria,Ghana,African Championship,Bata,Equatorial Guinea,True,2008
South Africa,Tunisia,African Championship,Bata,Equatorial Guinea,True,2008
Cameroon,Mali,African Championship,Malabo,Equatorial Guinea,True,2008
Equatorial Guinea,Congo,African Championship,Malabo,Equatorial Guinea,False,2008
Ghana,South Africa,African Championship,Bata,Equatorial Guinea,True,2008
Tunisia,Nigeria,African Championship,Bata,Equatorial Guinea,True,2008
Equatorial Guinea,Mali,African Championship,Malabo,Equatorial Guinea,False,2008
Cameroon,Congo,African Championship,Bata,Equatorial Guinea,True,2008
Nigeria,South Africa,African Championship,Bata,Equatorial Guinea,True,2008
Ghana,Tunisia,African Championship,Malabo,Equatorial Guinea,True,2008
Equatorial Guinea,Nigeria,African Championship,Malabo,Equatorial Guinea,False,2008
South Africa,Cameroon,African Championship,Malabo,Equatorial Guinea,True,2008
Nigeria,Cameroon,African Championship,Malabo,Equatorial Guinea,True,2008
Equatorial Guinea,South Africa,African Championship,Malabo,Equatorial Guinea,False,2008
South Korea,Finland,Four Nations Tournament,Guangzhou,China PR,True,2009
China PR,New Zealand,Four Nations Tournament,Guangzhou,China PR,False,2009
China PR,Finland,Four Nations Tournament,Guangzhou,China PR,False,2009
South Korea,New Zealand,Four Nations Tournament,Guangzhou,China PR,True,2009
China PR,South Korea,Four Nations Tournament,Guangzhou,China PR,False,2009
New Zealand,Finland,Four Nations Tournament,Guangzhou,China PR,True,2009
Germany,Finland,Algarve Cup,Albufeira,Portugal,True,2009
China PR,Sweden,Algarve Cup,Lagos,Portugal,True,2009
United States,Denmark,Algarve Cup,Lagos,Portugal,True,2009
Norway,Iceland,Algarve Cup,Olhão,Portugal,True,2009
Wales,Austria,Algarve Cup,Alvor,Portugal,True,2009
Portugal,Poland,Algarve Cup,Albufeira,Portugal,False,2009
South Africa,England,Cyprus Cup,Larnaca,Cyprus,True,2009
France,Scotland,Cyprus Cup,Larnaca,Cyprus,True,2009
Netherlands,Russia,Cyprus Cup,Nicosia,Cyprus,True,2009
Canada,New Zealand,Cyprus Cup,Paralimni,Cyprus,True,2009
Sweden,Finland,Algarve Cup,Lagos,Portugal,True,2009
Germany,China PR,Algarve Cup,Albufeira,Portugal,True,2009
United States,Iceland,Algarve Cup,Ferreiras,Portugal,True,2009
Denmark,Norway,Algarve Cup,Lagos,Portugal,True,2009
Austria,Poland,Algarve Cup,Vila Real de Santo António,Portugal,True,2009
Portugal,Wales,Algarve Cup,Albufeira,Portugal,False,2009
England,France,Cyprus Cup,Paralimni,Cyprus,True,2009
South Africa,Scotland,Cyprus Cup,Nicosia,Cyprus,True,2009
Canada,Netherlands,Cyprus Cup,Larnaca,Cyprus,True,2009
Russia,New Zealand,Cyprus Cup,Nicosia,Cyprus,True,2009
Finland,China PR,Algarve Cup,Vila Real de Santo António,Portugal,True,2009
Sweden,Germany,Algarve Cup,Faro,Portugal,True,2009
Norway,United States,Algarve Cup,Ferreiras,Portugal,True,2009
Iceland,Denmark,Algarve Cup,Silves,Portugal,True,2009
Portugal,Austria,Algarve Cup,Faro,Portugal,False,2009
Poland,Wales,Algarve Cup,Loulé,Portugal,True,2009
England,Scotland,Cyprus Cup,Larnaca,Cyprus,True,2009
France,South Africa,Cyprus Cup,Nicosia,Cyprus,True,2009
Canada,Russia,Cyprus Cup,Larnaca,Cyprus,True,2009
New Zealand,Netherlands,Cyprus Cup,Paralimni,Cyprus,True,2009
Wales,Poland,Algarve Cup,Albufeira,Portugal,True,2009
Austria,Norway,Algarve Cup,Loulé,Portugal,True,2009
Portugal,Finland,Algarve Cup,Lagos,Portugal,False,2009
China PR,Iceland,Algarve Cup,Olhão,Portugal,True,2009
Germany,Denmark,Algarve Cup,Faro,Portugal,True,2009
United States,Sweden,Algarve Cup,Faro,Portugal,True,2009
Scotland,Russia,Cyprus Cup,Nicosia,Cyprus,True,2009
Netherlands,South Africa,Cyprus Cup,Nicosia,Cyprus,True,2009
France,New Zealand,Cyprus Cup,Nicosia,Cyprus,True,2009
England,Canada,Cyprus Cup,Nicosia,Cyprus,True,2009
Kyrgyzstan,Jordan,AFC Asian Cup qualification,Kuala Lumpur,Malaysia,True,2009
Palestine,Maldives,AFC Asian Cup qualification,Kuala Lumpur,Malaysia,True,2009
Maldives,Uzbekistan,AFC Asian Cup qualification,Kuala Lumpur,Malaysia,True,2009
Palestine,Kyrgyzstan,AFC Asian Cup qualification,Kuala Lumpur,Malaysia,True,2009
Uzbekistan,Palestine,AFC Asian Cup qualification,Kuala Lumpur,Malaysia,True,2009
Jordan,Maldives,AFC Asian Cup qualification,Kuala Lumpur,Malaysia,True,2009
Jordan,Palestine,AFC Asian Cup qualification,Kuala Lumpur,Malaysia,True,2009
Kyrgyzstan,Uzbekistan,AFC Asian Cup qualification,Kuala Lumpur,Malaysia,True,2009
Maldives,Kyrgyzstan,AFC Asian Cup qualification,Kuala Lumpur,Malaysia,True,2009
Uzbekistan,Jordan,AFC Asian Cup qualification,Kuala Lumpur,Malaysia,True,2009
Thailand,Uzbekistan,AFC Asian Cup qualification,Bangkok,Thailand,False,2009
Vietnam,Kyrgyzstan,AFC Asian Cup qualification,Ho Chi Minh City,Vietnam,False,2009
Iran,Uzbekistan,AFC Asian Cup qualification,Bangkok,Thailand,True,2009
Hong Kong,Kyrgyzstan,AFC Asian Cup qualification,Ho Chi Minh City,Vietnam,True,2009
Thailand,Iran,AFC Asian Cup qualification,Bangkok,Thailand,False,2009
Vietnam,Hong Kong,AFC Asian Cup qualification,Ho Chi Minh City,Vietnam,False,2009
Taiwan,Jordan,AFC Asian Cup qualification,Hsinying City,Taiwan,False,2009
Myanmar,Jordan,AFC Asian Cup qualification,Hsinying City,Taiwan,True,2009
Taiwan,Myanmar,AFC Asian Cup qualification,Hsinying City,Taiwan,False,2009
Ukraine,Netherlands,UEFA Euro,Turku,Finland,True,2009
Finland,Denmark,UEFA Euro,Helsinki,Finland,False,2009
Germany,Norway,UEFA Euro,Tampere,Finland,True,2009
Iceland,France,UEFA Euro,Tampere,Finland,True,2009
Italy,England,UEFA Euro,Lahti,Finland,True,2009
Sweden,Russia,UEFA Euro,Turku,Finland,True,2009
Ukraine,Denmark,UEFA Euro,Helsinki,Finland,True,2009
Finland,Netherlands,UEFA Euro,Helsinki,Finland,False,2009
France,Germany,UEFA Euro,Tampere,Finland,True,2009
Iceland,Norway,UEFA Euro,Lahti,Finland,True,2009
Italy,Sweden,UEFA Euro,Turku,Finland,True,2009
England,Russia,UEFA Euro,Helsinki,Finland,True,2009
Finland,Ukraine,UEFA Euro,Helsinki,Finland,False,2009
Denmark,Netherlands,UEFA Euro,Lahti,Finland,True,2009
Germany,Iceland,UEFA Euro,Tampere,Finland,True,2009
Norway,France,UEFA Euro,Helsinki,Finland,True,2009
Russia,Italy,UEFA Euro,Helsinki,Finland,True,2009
Sweden,England,UEFA Euro,Turku,Finland,True,2009
Finland,England,UEFA Euro,Turku,Finland,False,2009
Netherlands,France,UEFA Euro,Tampere,Finland,True,2009
Germany,Italy,UEFA Euro,Lahti,Finland,True,2009
Sweden,Norway,UEFA Euro,Helsinki,Finland,True,2009
England,Netherlands,UEFA Euro,Tampere,Finland,True,2009
Germany,Norway,UEFA Euro,Helsinki,Finland,True,2009
England,Germany,UEFA Euro,Helsinki,Finland,True,2009
China PR,Finland,Algarve Cup,Lagos,Portugal,True,2010
Germany,Denmark,Algarve Cup,Parchal,Portugal,True,2010
United States,Iceland,Algarve Cup,Vila Real de Santo António,Portugal,True,2010
Norway,Sweden,Algarve Cup,Vila Real de Santo António,Portugal,True,2010
Portugal,Faroe Islands,Algarve Cup,Parchal,Portugal,False,2010
Romania,Austria,Algarve Cup,Lagos,Portugal,True,2010
Scotland,Netherlands,Cyprus Cup,Nicosia,Cyprus,True,2010
New Zealand,Italy,Cyprus Cup,Nicosia,Cyprus,True,2010
England,South Africa,Cyprus Cup,Larnaca,Cyprus,True,2010
Canada,Switzerland,Cyprus Cup,Larnaca,Cyprus,True,2010
Denmark,China PR,Algarve Cup,Lagos,Portugal,True,2010
Germany,Finland,Algarve Cup,Parchal,Portugal,True,2010
Norway,United States,Algarve Cup,Olhão,Portugal,True,2010
Iceland,Sweden,Algarve Cup,Vila Real de Santo António,Portugal,True,2010
Portugal,Romania,Algarve Cup,Parchal,Portugal,False,2010
Austria,Faroe Islands,Algarve Cup,Lagos,Portugal,True,2010
Italy,Scotland,Cyprus Cup,Larnaca,Cyprus,True,2010
Netherlands,New Zealand,Cyprus Cup,Nicosia,Cyprus,True,2010
Switzerland,South Africa,Cyprus Cup,Nicosia,Cyprus,True,2010
England,Canada,Cyprus Cup,Larnaca,Cyprus,True,2010
China PR,Germany,Algarve Cup,Faro,Portugal,True,2010
Denmark,Finland,Algarve Cup,Albufeira,Portugal,True,2010
United States,Sweden,Algarve Cup,Ferreiras,Portugal,True,2010
Iceland,Norway,Algarve Cup,Silves,Portugal,True,2010
Faroe Islands,Romania,Algarve Cup,Albufeira,Portugal,True,2010
Portugal,Austria,Algarve Cup,Faro,Portugal,False,2010
New Zealand,Scotland,Cyprus Cup,Larnaca,Cyprus,True,2010
Italy,Netherlands,Cyprus Cup,Nicosia,Cyprus,True,2010
South Africa,Canada,Cyprus Cup,Larnaca,Cyprus,True,2010
England,Switzerland,Cyprus Cup,Nicosia,Cyprus,True,2010
Austria,Faroe Islands,Algarve Cup,Olhão,Portugal,True,2010
Portugal,Iceland,Algarve Cup,Faro,Portugal,False,2010
Finland,Romania,Algarve Cup,Silves,Portugal,True,2010
Denmark,Norway,Algarve Cup,Ferreiras,Portugal,True,2010
China PR,Sweden,Algarve Cup,Albufeira,Portugal,True,2010
Germany,United States,Algarve Cup,Faro,Portugal,True,2010
Suriname,Saint Vincent and the Grenadines,CONCACAF Gold Cup qualification,Georgetown,Guyana,True,2010
South Africa,Scotland,Cyprus Cup,Larnaca,Cyprus,True,2010
England,Italy,Cyprus Cup,Nicosia,Cyprus,True,2010
Netherlands,Switzerland,Cyprus Cup,Nicosia,Cyprus,True,2010
New Zealand,Canada,Cyprus Cup,Nicosia,Cyprus,True,2010
Guyana,Suriname,CONCACAF Gold Cup qualification,Georgetown,Guyana,False,2010
Senegal,Morocco,African Championship qualification,Pikine,Senegal,False,2010
Ethiopia,Tanzania,African Championship qualification,Addis Ababa,Ethiopia,False,2010
Namibia,Angola,African Championship qualification,Windhoek,Namibia,False,2010
Botswana,DR Congo,African Championship qualification,Gaborone,Botswana,False,2010
Gabon,Ivory Coast,African Championship qualification,Libreville,Gabon,False,2010
Guinea,Sierra Leone,African Championship qualification,Conakry,Guinea,False,2010
Guyana,Saint Vincent and the Grenadines,CONCACAF Gold Cup qualification,Georgetown,Guyana,False,2010
Antigua and Barbuda,Saint Lucia,CONCACAF Gold Cup qualification,St. John's,Antigua and Barbuda,False,2010
U.S. Virgin Islands,Saint Lucia,CONCACAF Gold Cup qualification,St. John's,Antigua and Barbuda,True,2010
Antigua and Barbuda,U.S. Virgin Islands,CONCACAF Gold Cup qualification,St. John's,Antigua and Barbuda,False,2010
Saint Kitts and Nevis,Dominica,CONCACAF Gold Cup qualification,Bayamón,Puerto Rico,True,2010
DR Congo,Botswana,African Championship qualification,Kinshasa,DR Congo,False,2010
Ivory Coast,Gabon,African Championship qualification,Abidjan,Ivory Coast,False,2010
Puerto Rico,Saint Kitts and Nevis,CONCACAF Gold Cup qualification,Bayamón,Puerto Rico,False,2010
Angola,Namibia,African Championship qualification,Benguela,Angola,False,2010
Puerto Rico,Dominica,CONCACAF Gold Cup qualification,Bayamón,Puerto Rico,False,2010
Dominican Republic,Turks and Caicos Islands,CONCACAF Gold Cup qualification,Santo Domingo,Dominican Republic,False,2010
Turks and Caicos Islands,Haiti,CONCACAF Gold Cup qualification,Santo Domingo,Dominican Republic,True,2010
Barbados,Anguilla,CONCACAF Gold Cup qualification,Bridgetown,Barbados,False,2010
Dominican Republic,Haiti,CONCACAF Gold Cup qualification,Santo Domingo,Dominican Republic,False,2010
Anguilla,Grenada,CONCACAF Gold Cup qualification,Bridgetown,Barbados,True,2010
Barbados,Grenada,CONCACAF Gold Cup qualification,Bridgetown,Barbados,False,2010
El Salvador,Belize,CONCACAF Gold Cup qualification,Antigua Guatemala,Guatemala,True,2010
Guatemala,El Salvador,CONCACAF Gold Cup qualification,Antigua Guatemala,Guatemala,False,2010
Guatemala,Belize,CONCACAF Gold Cup qualification,Antigua Guatemala,Guatemala,False,2010
Nicaragua,Honduras,CONCACAF Gold Cup qualification,Managua,Nicaragua,False,2010
Honduras,Costa Rica,CONCACAF Gold Cup qualification,Managua,Nicaragua,True,2010
Nicaragua,Costa Rica,CONCACAF Gold Cup qualification,Managua,Nicaragua,False,2010
Guyana,Barbados,CONCACAF Gold Cup qualification,Macoya,Trinidad and Tobago,True,2010
Trinidad and Tobago,Saint Lucia,CONCACAF Gold Cup qualification,Macoya,Trinidad and Tobago,False,2010
Cuba,Puerto Rico,CONCACAF Gold Cup qualification,Marabella,Trinidad and Tobago,True,2010
Antigua and Barbuda,Haiti,CONCACAF Gold Cup qualification,Marabella,Trinidad and Tobago,True,2010
Saint Lucia,Guyana,CONCACAF Gold Cup qualification,Macoya,Trinidad and Tobago,True,2010
Trinidad and Tobago,Barbados,CONCACAF Gold Cup qualification,Macoya,Trinidad and Tobago,False,2010
Haiti,Cuba,CONCACAF Gold Cup qualification,Marabella,Trinidad and Tobago,True,2010
Puerto Rico,Antigua and Barbuda,CONCACAF Gold Cup qualification,Marabella,Trinidad and Tobago,True,2010
Barbados,Saint Lucia,CONCACAF Gold Cup qualification,Macoya,Trinidad and Tobago,True,2010
Trinidad and Tobago,Guyana,CONCACAF Gold Cup qualification,Macoya,Trinidad and Tobago,False,2010
Haiti,Puerto Rico,CONCACAF Gold Cup qualification,Marabella,Trinidad and Tobago,True,2010
Cuba,Antigua and Barbuda,CONCACAF Gold Cup qualification,Marabella,Trinidad and Tobago,True,2010
Australia,Vietnam,AFC Asian Cup,Chengdu,China PR,True,2010
China PR,South Korea,AFC Asian Cup,Chengdu,China PR,False,2010
North Korea,Thailand,AFC Asian Cup,Chengdu,China PR,True,2010
Japan,Myanmar,AFC Asian Cup,Chengdu,China PR,True,2010
DR Congo,Cameroon,African Championship qualification,Kinshasa,DR Congo,False,2010
South Korea,Australia,AFC Asian Cup,Chengdu,China PR,True,2010
China PR,Vietnam,AFC Asian Cup,Chengdu,China PR,False,2010
Algeria,Tunisia,African Championship qualification,Koléa,Algeria,False,2010
Senegal,Ghana,African Championship qualification,Dakar,Senegal,False,2010
Thailand,Japan,AFC Asian Cup,Chengdu,China PR,True,2010
Myanmar,North Korea,AFC Asian Cup,Chengdu,China PR,True,2010
Namibia,Equatorial Guinea,African Championship qualification,Windhoek,Namibia,False,2010
Ivory Coast,Nigeria,African Championship qualification,Abidjan,Ivory Coast,False,2010
Guinea,Mali,African Championship qualification,Conakry,Guinea,False,2010
Tanzania,Eritrea,African Championship qualification,Dar es Salaam,Tanzania,False,2010
China PR,Australia,AFC Asian Cup,Chengdu,China PR,False,2010
Vietnam,South Korea,AFC Asian Cup,Chengdu,China PR,True,2010
North Korea,Japan,AFC Asian Cup,Chengdu,China PR,True,2010
Myanmar,Thailand,AFC Asian Cup,Chengdu,China PR,True,2010
Japan,Australia,AFC Asian Cup,Chengdu,China PR,True,2010
China PR,North Korea,AFC Asian Cup,Chengdu,China PR,False,2010
China PR,Japan,AFC Asian Cup,Chengdu,China PR,False,2010
Australia,North Korea,AFC Asian Cup,Chengdu,China PR,True,2010
Tunisia,Algeria,African Championship qualification,Tunis,Tunisia,False,2010
Cameroon,DR Congo,African Championship qualification,Yaoundé,Cameroon,False,2010
Nigeria,Ivory Coast,African Championship qualification,Abuja,Nigeria,False,2010
Mali,Guinea,African Championship qualification,Bamako,Mali,False,2010
Eritrea,Tanzania,African Championship qualification,Asmara,Eritrea,False,2010
Ghana,Senegal,African Championship qualification,Accra,Ghana,False,2010
Cuba,Guyana,CONCACAF Gold Cup qualification,Havana,Cuba,False,2010
Guyana,Cuba,CONCACAF Gold Cup qualification,Georgetown,Guyana,False,2010
New Zealand,Vanuatu,OFC Championship,Auckland,New Zealand,False,2010
Cook Islands,Tahiti,OFC Championship,Auckland,New Zealand,True,2010
Papua New Guinea,Fiji,OFC Championship,Auckland,New Zealand,True,2010
Solomon Islands,Tonga,OFC Championship,Auckland,New Zealand,True,2010
Tahiti,Vanuatu,OFC Championship,Auckland,New Zealand,True,2010
New Zealand,Cook Islands,OFC Championship,Auckland,New Zealand,False,2010
Tonga,Fiji,OFC Championship,Auckland,New Zealand,True,2010
Solomon Islands,Papua New Guinea,OFC Championship,Auckland,New Zealand,True,2010
New Zealand,Tahiti,OFC Championship,Auckland,New Zealand,False,2010
Vanuatu,Cook Islands,OFC Championship,Auckland,New Zealand,True,2010
Tonga,Papua New Guinea,OFC Championship,Auckland,New Zealand,True,2010
Fiji,Solomon Islands,OFC Championship,Auckland,New Zealand,True,2010
New Zealand,Solomon Islands,OFC Championship,Auckland,New Zealand,False,2010
Papua New Guinea,Cook Islands,OFC Championship,Auckland,New Zealand,True,2010
Solomon Islands,Cook Islands,OFC Championship,Auckland,New Zealand,True,2010
New Zealand,Papua New Guinea,OFC Championship,Auckland,New Zealand,False,2010
Costa Rica,Guatemala,CONCACAF Gold Cup,Cancún,Mexico,True,2010
United States,Haiti,CONCACAF Gold Cup,Cancún,Mexico,True,2010
Trinidad and Tobago,Canada,CONCACAF Gold Cup,Cancún,Mexico,True,2010
Mexico,Guyana,CONCACAF Gold Cup,Cancún,Mexico,False,2010
Haiti,Costa Rica,CONCACAF Gold Cup,Cancún,Mexico,True,2010
United States,Guatemala,CONCACAF Gold Cup,Cancún,Mexico,True,2010
South Africa,Tanzania,African Championship,Daveyton,South Africa,False,2010
Canada,Guyana,CONCACAF Gold Cup,Cancún,Mexico,True,2010
Mexico,Trinidad and Tobago,CONCACAF Gold Cup,Cancún,Mexico,False,2010
Guatemala,Haiti,CONCACAF Gold Cup,Cancún,Mexico,True,2010
United States,Costa Rica,CONCACAF Gold Cup,Cancún,Mexico,True,2010
Nigeria,Mali,African Championship,Daveyton,South Africa,True,2010
Guyana,Trinidad and Tobago,CONCACAF Gold Cup,Cancún,Mexico,True,2010
Mexico,Canada,CONCACAF Gold Cup,Cancún,Mexico,False,2010
Equatorial Guinea,Cameroon,African Championship,Daveyton,South Africa,True,2010
Algeria,Ghana,African Championship,Daveyton,South Africa,True,2010
Morocco,Senegal,African Championship qualification,Salé,Morocco,False,2010
Sierra Leone,Guinea,African Championship qualification,Freetown,Sierra Leone,False,2010
Tanzania,Ethiopia,African Championship qualification,Dar es Salaam,Tanzania,False,2010
Argentina,Bolivia,Copa América,Latacunga,Ecuador,True,2010
Ecuador,Chile,Copa América,Latacunga,Ecuador,False,2010
South Africa,Nigeria,African Championship,Daveyton,South Africa,False,2010
Mali,Tanzania,African Championship,Daveyton,South Africa,True,2010
Paraguay,Colombia,Copa América,Loja,Ecuador,True,2010
Brazil,Venezuela,Copa América,Loja,Ecuador,True,2010
Canada,Costa Rica,CONCACAF Gold Cup,Cancún,Mexico,True,2010
Mexico,United States,CONCACAF Gold Cup,Cancún,Mexico,False,2010
Equatorial Guinea,Algeria,African Championship,Daveyton,South Africa,True,2010
Ghana,Cameroon,African Championship,Daveyton,South Africa,True,2010
Chile,Argentina,Copa América,Ambato,Ecuador,True,2010
Ecuador,Peru,Copa América,Ambato,Ecuador,False,2010
Venezuela,Paraguay,Copa América,Loja,Ecuador,True,2010
Uruguay,Brazil,Copa América,Loja,Ecuador,True,2010
South Africa,Mali,African Championship,Daveyton,South Africa,False,2010
Tanzania,Nigeria,African Championship,Tembisa,South Africa,True,2010
Chile,Bolivia,Copa América,Riobamba,Ecuador,True,2010
Argentina,Peru,Copa América,Riobamba,Ecuador,True,2010
Costa Rica,United States,CONCACAF Gold Cup,Cancún,Mexico,True,2010
Mexico,Canada,CONCACAF Gold Cup,Cancún,Mexico,False,2010
Ghana,Equatorial Guinea,African Championship,Daveyton,South Africa,True,2010
Cameroon,Algeria,African Championship,Tembisa,South Africa,True,2010
Colombia,Venezuela,Copa América,Azogues,Ecuador,True,2010
Paraguay,Uruguay,Copa América,Azogues,Ecuador,True,2010
Peru,Chile,Copa América,Ambato,Ecuador,True,2010
Ecuador,Bolivia,Copa América,Ambato,Ecuador,False,2010
Venezuela,Uruguay,Copa América,Cuenca,Ecuador,True,2010
Colombia,Brazil,Copa América,Cuenca,Ecuador,True,2010
Nigeria,Cameroon,African Championship,Daveyton,South Africa,True,2010
South Africa,Equatorial Guinea,African Championship,Daveyton,South Africa,False,2010
Bolivia,Peru,Copa América,Latacunga,Ecuador,True,2010
Ecuador,Argentina,Copa América,Latacunga,Ecuador,False,2010
Uruguay,Colombia,Copa América,Cuenca,Ecuador,True,2010
Brazil,Paraguay,Copa América,Cuenca,Ecuador,True,2010
South Africa,Cameroon,African Championship,Daveyton,South Africa,False,2010
Nigeria,Equatorial Guinea,African Championship,Daveyton,South Africa,True,2010
Chile,Colombia,Copa América,Latacunga,Ecuador,True,2010
Brazil,Argentina,Copa América,Latacunga,Ecuador,True,2010
Chile,Argentina,Copa América,Latacunga,Ecuador,True,2010
Brazil,Colombia,Copa América,Latacunga,Ecuador,True,2010
Colombia,Argentina,Copa América,Quito,Ecuador,True,2010
Chile,Brazil,Copa América,Quito,Ecuador,True,2010
Sweden,United States,Four Nations Tournament,Chongqing,China PR,True,2011
China PR,Canada,Four Nations Tournament,Chongqing,China PR,False,2011
China PR,Sweden,Four Nations Tournament,Chongqing,China PR,False,2011
United States,Canada,Four Nations Tournament,Chongqing,China PR,True,2011
Canada,Sweden,Four Nations Tournament,Chongqing,China PR,True,2011
China PR,United States,Four Nations Tournament,Chongqing,China PR,False,2011
Norway,Finland,Algarve Cup,Lagos,Portugal,True,2011
United States,Japan,Algarve Cup,Vila Real de Santo António,Portugal,True,2011
Sweden,Iceland,Algarve Cup,Loulé,Portugal,True,2011
China PR,Denmark,Algarve Cup,Ferreiras,Portugal,True,2011
Portugal,Wales,Algarve Cup,Vila Real de Santo António,Portugal,False,2011
Romania,Chile,Algarve Cup,Lagos,Portugal,True,2011
Canada,Scotland,Cyprus Cup,Larnaca,Cyprus,True,2011
England,Italy,Cyprus Cup,Larnaca,Cyprus,True,2011
France,Switzerland,Cyprus Cup,Nicosia,Cyprus,True,2011
New Zealand,Netherlands,Cyprus Cup,Nicosia,Cyprus,True,2011
South Korea,Northern Ireland,Cyprus Cup,Sotira,Cyprus,True,2011
Russia,Mexico,Cyprus Cup,Paralimni,Cyprus,True,2011
Macedonia,Lithuania,UEFA Euro qualification,Strumica,Macedonia,False,2011
Luxembourg,Latvia,UEFA Euro qualification,Strumica,Macedonia,True,2011
Malta,Georgia,UEFA Euro qualification,Ta' Qali,Malta,False,2011
Faroe Islands,Armenia,UEFA Euro qualification,Ta' Qali,Malta,True,2011
Japan,Finland,Algarve Cup,Lagos,Portugal,True,2011
United States,Norway,Algarve Cup,Vila Real de Santo António,Portugal,True,2011
Iceland,China PR,Algarve Cup,Albufeira,Portugal,True,2011
Denmark,Sweden,Algarve Cup,Olhão,Portugal,True,2011
Portugal,Chile,Algarve Cup,Vila Real de Santo António,Portugal,False,2011
Wales,Romania,Algarve Cup,Lagos,Portugal,True,2011
England,Scotland,Cyprus Cup,Nicosia,Cyprus,True,2011
Italy,Canada,Cyprus Cup,Nicosia,Cyprus,True,2011
France,Netherlands,Cyprus Cup,Larnaca,Cyprus,True,2011
Switzerland,New Zealand,Cyprus Cup,Larnaca,Cyprus,True,2011
Russia,Northern Ireland,Cyprus Cup,Sotira,Cyprus,True,2011
South Korea,Mexico,Cyprus Cup,Paralimni,Cyprus,True,2011
Macedonia,Luxembourg,UEFA Euro qualification,Strumica,Macedonia,False,2011
Latvia,Lithuania,UEFA Euro qualification,Strumica,Macedonia,True,2011
Armenia,Georgia,UEFA Euro qualification,Ta' Qali,Malta,True,2011
Malta,Faroe Islands,UEFA Euro qualification,Ta' Qali,Malta,False,2011
Norway,Japan,Algarve Cup,Parchal,Portugal,True,2011
United States,Finland,Algarve Cup,Quarteira,Portugal,True,2011
China PR,Sweden,Algarve Cup,Olhão,Portugal,True,2011
Denmark,Iceland,Algarve Cup,Lagos,Portugal,True,2011
